Team,Year,Week,Day,Date,,,OT,Record,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
Was,2006,1,Mon,9/11/12,boxscore,L,,0,0-1,,Minnesota Vikings,16,19,15,266,163,103,,18,309,223,86,,-0.27,-3.92,0.4
Was,2006,2,Sun,9/17/12,boxscore,L,,0,0-2,@,Dallas Cowboys,10,27,16,245,152,93,1,22,367,229,138,1,-13.44,-4.26,4.67
Was,2006,3,Sun,9/24/12,boxscore,W,,1,1/2/12,@,Houston Texans,31,15,25,495,261,234,1,17,261,200,61,2,22.94,-5.31,-2.37
Was,2006,4,Sun,10/1/12,boxscore,W,OT,2,2/2/12,,Jacksonville Jaguars,36,30,22,481,329,152,2,12,307,275,32,2,12.35,-0.82,-4.61
Was,2006,5,Sun,10/8/12,boxscore,L,,2,2/3/12,@,New York Giants,3,19,10,164,86,78,,20,411,256,155,,-10.67,-9.47,5.61
Was,2006,6,Sun,10/15/12,boxscore,L,,2,2/4/12,,Tennessee Titans,22,25,18,305,180,125,2,21,344,151,193,,2.91,-2.72,-1.95
Was,2006,7,Sun,10/22/12,boxscore,L,,2,2/5/12,@,Indianapolis Colts,22,36,19,325,211,114,,25,452,342,110,,8.9,-22.86,-1.15
Was,2006,8,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
Was,2006,9,Sun,11/5/12,boxscore,W,,3,3/5/12,,Dallas Cowboys,22,19,18,300,183,117,1,21,378,267,111,,4.5,-10.57,11.86
Was,2006,10,Sun,11/12/12,boxscore,L,,3,3/6/12,@,Philadelphia Eagles,3,27,16,278,132,146,1,18,400,255,145,,-14.02,-11.27,-1.94
Was,2006,11,Sun,11/19/12,boxscore,L,,3,3/7/12,@,Tampa Bay Buccaneers,17,20,15,252,193,59,1,19,359,178,181,2,0.34,-4.11,-1.5
Was,2006,12,Sun,11/26/12,boxscore,W,,4,4/7/12,,Carolina Panthers,17,13,14,253,110,143,1,15,264,163,101,2,-6.9,10.96,-2.55
Was,2006,13,Sun,12/3/12,boxscore,L,,4,4/8/12,,Atlanta Falcons,14,24,25,381,204,177,2,16,369,113,256,,-5.05,-7.27,2.97
Was,2006,14,Sun,12/10/12,boxscore,L,,4,4/9/12,,Philadelphia Eagles,19,21,20,415,205,210,2,14,263,164,99,1,-3.86,-4.82,3.72
Was,2006,15,Sun,12/17/12,boxscore,W,,5,5/9/12,@,New Orleans Saints,16,10,19,354,193,161,,15,270,199,71,1,2.64,4.26,-0.89
Was,2006,16,Sun,12/24/12,boxscore,L,OT,5,5/10/12,@,St. Louis Rams,31,37,22,336,160,176,1,25,579,382,197,1,5.84,-24.77,12.4
Was,2006,17,Sat,12/30/12,boxscore,L,,5,5/11/12,,New York Giants,28,34,21,393,265,128,2,23,355,94,261,,6.47,-18.33,5.11
Was,2005,1,Sun,9/11/12,boxscore,W,,1,Jan-00,,Chicago Bears,9,7,18,323,159,164,3,11,166,125,41,2,-0.64,13.86,-8.42
Was,2005,2,Mon,9/19/12,boxscore,W,,2,Feb-00,@,Dallas Cowboys,14,13,14,346,242,104,2,14,351,261,90,,-5.2,6.23,-2.09
Was,2005,3,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
Was,2005,4,Sun,10/2/12,boxscore,W,OT,3,Mar-00,,Seattle Seahawks,20,17,26,352,211,141,1,21,354,235,119,,11.73,-12.22,2.23
